function,dataset,n,iterations,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,peak_alloc_mb,input_mb,peak_total_mb,correct,notes
quick_sort (pure Python),baseline,100000,5,82.3251417838037,81.28691697493196,83.20137485861778,0.7946564965004084,0.00079345703125,3.4332275390625,3.43402099609375,True,
list.sort [C Timsort],stdlib,100000,5,8.289541630074382,7.811625022441149,9.135999949648976,0.5104974178618358,0.3813018798828125,3.4332275390625,3.8145294189453125,True,
numpy sort [sort only],numpy,100000,5,1.8145166337490082,1.744207926094532,1.8817090895026922,0.061714059464242514,0.00251007080078125,0.762939453125,0.7654495239257812,True,
numpy sort [round trip],numpy,100000,5,4.47199996560812,4.217291949316859,4.740583011880517,0.24722446653299518,4.577781677246094,3.4332275390625,8.011009216308594,True,
C quicksort [sort only],ctypes,100000,5,5.293724965304136,4.8500418197363615,5.854374961927533,0.4067753104370333,0.00019073486328125,0.762939453125,0.7631301879882812,True,
libc qsort [sort only],ctypes,100000,5,5.4990417789667845,5.354332970455289,5.573166999965906,0.09788793085515644,0.00019073486328125,0.762939453125,0.7631301879882812,True,
C quicksort [round trip],ctypes,100000,5,15.964625217020512,15.783667098730803,16.116000013425946,0.12735668787544466,4.578218460083008,3.4332275390625,8.011445999145508,True,
