function,dataset,n,iterations,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,peak_alloc_mb,input_mb,peak_total_mb,correct,notes
quick_sort,random,100000,5,464.45369157008827,447.8443751577288,477.1347080823034,13.54792691007407,0.00079345703125,3.8187828063964844,3.8195762634277344,True,
merge_sort,random,100000,5,669.5895496755838,585.7197078876197,823.8777499645948,96.98273691779063,1.65142822265625,3.8187828063964844,5.470211029052734,True,
heap_sort,random,100000,5,1158.3077664021403,644.3215410690755,1732.2179160546511,416.5323574151395,0.000217437744140625,3.8187828063964844,3.819000244140625,True,
list.sort [C],random,100000,5,35.24524997919798,27.052332879975438,45.87700008414686,7.682614704933782,0.3813018798828125,3.8187828063964844,4.200084686279297,True,
quick_sort,sorted,100000,5,469.4553915876895,369.0187919419259,548.3183329924941,73.51526979897638,0.000732421875,4.9602508544921875,4.9609832763671875,True,
merge_sort,sorted,100000,5,482.31915016658604,375.1070420257747,642.9014580789953,97.86606276723423,1.9119110107421875,4.9602508544921875,6.872161865234375,True,
heap_sort,sorted,100000,5,659.195808460936,577.3343329783529,729.0945001877844,56.14516706734672,0.000217437744140625,4.9602508544921875,4.960468292236328,True,
list.sort [C],sorted,100000,5,2.810433367267251,1.9799999427050352,4.442041972652078,0.9999900702990562,0.0,4.9602508544921875,4.9602508544921875,True,
quick_sort,reversed,100000,5,361.77617497742176,345.12025001458824,399.75120802409947,24.101855382833648,0.000732421875,4.96026611328125,4.96099853515625,True,
merge_sort,reversed,100000,5,359.59432502277195,330.94070898368955,410.5882910080254,31.750441363397908,1.9119110107421875,4.96026611328125,6.8721771240234375,True,
heap_sort,reversed,100000,5,648.6786584369838,603.2603750936687,693.8885001000017,35.86455845001255,0.000217437744140625,4.96026611328125,4.960483551025391,True,
list.sort [C],reversed,100000,5,1.8478497862815857,1.2254579924046993,2.5719578843563795,0.49995566235575656,0.0,4.96026611328125,4.96026611328125,True,
quick_sort,nearly_sorted,100000,5,347.18360817059875,298.643667018041,400.8606248535216,39.400482727880444,0.00079345703125,4.9602508544921875,4.9610443115234375,True,
merge_sort,nearly_sorted,100000,5,549.3621083442122,515.7732500229031,584.1079999227077,28.842184865591975,1.6526260375976562,4.9602508544921875,6.612876892089844,True,
heap_sort,nearly_sorted,100000,5,705.0853249616921,541.172165889293,845.8588749635965,112.2798937821632,0.000217437744140625,4.9602508544921875,4.960468292236328,True,
list.sort [C],nearly_sorted,100000,5,7.516450202092528,6.575542036443949,8.422749815508723,0.7733567271212184,0.3800506591796875,4.9602508544921875,5.340301513671875,True,
quick_sort,few_unique,100000,5,413.9736997894943,353.4534159116447,478.8315419573337,48.990534152010426,0.0008544921875,0.7669677734375,0.767822265625,True,
merge_sort,few_unique,100000,5,493.5133163817227,488.3495829999447,509.0889579150826,8.774339913105193,1.6534576416015625,0.7669677734375,2.4204254150390625,True,
heap_sort,few_unique,100000,5,600.0709001906216,520.370916929096,685.5279998853803,71.28399821012462,0.000217437744140625,0.7669677734375,0.7671852111816406,True,
list.sort [C],few_unique,100000,5,15.81393335945904,12.41249986924231,18.455166835337877,2.8500956346316593,0.377471923828125,0.7669677734375,1.144439697265625,True,
quick_sort,random,10000,3,38.15818065777421,35.2527080103755,43.34704182110727,4.50443751160059,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
merge_sort,random,10000,3,49.34884731968244,45.888000167906284,54.76416694000363,4.749900642565766,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
heap_sort,random,10000,3,57.66568069035808,47.0724580809474,63.126333989202976,9.175466403144776,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
list.sort [C],random,10000,3,2.162722715487083,1.857417169958353,2.589334035292268,0.38073861453057756,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
quick_sort,random,25000,3,108.39709701637427,102.00012498535216,112.69212490878999,5.647419097434241,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
merge_sort,random,25000,3,124.22095867805183,116.84470903128386,130.6643330026418,6.956881050620264,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
heap_sort,random,25000,3,159.61223631165922,151.59716689959168,174.64183294214308,13.025622915108823,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
list.sort [C],random,25000,3,6.637458301459749,4.700333112850785,8.040291955694556,1.7328969532982896,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
quick_sort,random,50000,3,215.38780567546686,187.1580418664962,233.4773330949247,24.768679425887704,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
merge_sort,random,50000,3,289.95351361421245,275.75620799325407,308.1468748860061,16.560953203627353,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
heap_sort,random,50000,3,355.56802805513144,349.84408412128687,362.25562496110797,6.261633715945132,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
list.sort [C],random,50000,3,15.321291284635663,14.421415980905294,16.24308293685317,0.911031212059366,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
quick_sort,random,100000,3,382.33558360176784,342.986041912809,444.453916978091,54.43111080754152,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
merge_sort,random,100000,3,461.2982636317611,405.6305829435587,508.04254109971225,51.78583432868326,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
heap_sort,random,100000,3,846.4506670522193,837.9707089625299,856.9736250210553,9.664786136355312,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
list.sort [C],random,100000,3,32.07022238833209,30.457750195637345,34.20466696843505,1.927222796015205,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
quick_sort,random,200000,3,892.9902083861331,803.8862920366228,1053.2561249565333,139.08397139571645,0.0,7.655483245849609,7.655483245849609,True,scaling study
merge_sort,random,200000,3,940.9196947235614,882.1284170262516,1026.5654581598938,75.8708591363699,0.0,7.655483245849609,7.655483245849609,True,scaling study
heap_sort,random,200000,3,1740.551666667064,1431.802042061463,1990.357083035633,283.9044702235809,0.0,7.655483245849609,7.655483245849609,True,scaling study
list.sort [C],random,200000,3,71.35481969453394,69.56341699697077,74.00629203766584,2.342984102214385,0.0,7.655483245849609,7.655483245849609,True,scaling study
