function,dataset,n,iterations,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,peak_alloc_mb,input_mb,peak_total_mb,correct,notes
quick_sort,random,100000,5,83.56370814144611,82.57166692055762,86.28825005143881,1.5618045610139701,0.00079345703125,3.8187828063964844,3.8195762634277344,True,
merge_sort,random,100000,5,115.55926613509655,115.13920780271292,116.47366592660546,0.5637063796280521,1.65142822265625,3.8187828063964844,5.470211029052734,True,
heap_sort,random,100000,5,144.47945044375956,142.25933398120105,146.87920920550823,2.0977990865172584,0.000217437744140625,3.8187828063964844,3.819000244140625,True,
list.sort [C],random,100000,5,8.021841756999493,7.912083063274622,8.128749905154109,0.09541340177885659,0.3813018798828125,3.8187828063964844,4.200084686279297,True,
quick_sort,sorted,100000,5,61.76489135250449,61.10799987800419,62.797082820907235,0.687989539517366,0.000732421875,4.9602508544921875,4.9609832763671875,True,
merge_sort,sorted,100000,5,81.18480863049626,80.46516706235707,82.32849999330938,0.6874308379738633,1.9119110107421875,4.9602508544921875,6.872161865234375,True,
heap_sort,sorted,100000,5,141.7239415924996,137.95254193246365,144.9438331183046,2.6407493484117004,0.000217437744140625,4.9602508544921875,4.960468292236328,True,
list.sort [C],sorted,100000,5,0.28037475422024727,0.22091600112617016,0.4166248254477978,0.08073326573032555,0.0,4.9602508544921875,4.9602508544921875,True,
quick_sort,reversed,100000,5,63.1081335246563,62.69166711717844,63.4572091512382,0.2747918369782888,0.000732421875,4.96026611328125,4.96099853515625,True,
merge_sort,reversed,100000,5,82.23612513393164,80.4264999460429,84.71874985843897,1.8162358563189656,1.9119110107421875,4.96026611328125,6.8721771240234375,True,
heap_sort,reversed,100000,5,134.92444180883467,130.51820895634592,140.05008293315768,4.186320758029993,0.000217437744140625,4.96026611328125,4.960483551025391,True,
list.sort [C],reversed,100000,5,0.2278332132846117,0.22262497805058956,0.23779110051691532,0.006010374002407727,0.0,4.96026611328125,4.96026611328125,True,
quick_sort,nearly_sorted,100000,5,63.48475012928248,61.95391691289842,66.1617920268327,1.592055574661328,0.00079345703125,4.9602508544921875,4.9610443115234375,True,
merge_sort,nearly_sorted,100000,5,104.81615848839283,103.59708406031132,106.8883331026882,1.4361536884630923,1.6526260375976562,4.9602508544921875,6.612876892089844,True,
heap_sort,nearly_sorted,100000,5,142.02174181118608,139.00395785458386,144.9489591177553,2.388901794194912,0.000217437744140625,4.9602508544921875,4.960468292236328,True,
list.sort [C],nearly_sorted,100000,5,1.0670416057109833,1.02937500923872,1.121792010962963,0.034160779702442745,0.3800506591796875,4.9602508544921875,5.340301513671875,True,
quick_sort,few_unique,100000,5,77.26053344085813,76.57441683113575,78.16562498919666,0.7297457401856782,0.0008544921875,0.7669677734375,0.767822265625,True,
merge_sort,few_unique,100000,5,110.68590017966926,110.02754210494459,111.64870881475508,0.7184579468141726,1.6534576416015625,0.7669677734375,2.4204254150390625,True,
heap_sort,few_unique,100000,5,135.1153082214296,134.12375003099442,137.20858306623995,1.2453695810568362,0.000217437744140625,0.7669677734375,0.7671852111816406,True,
list.sort [C],few_unique,100000,5,5.194141389802098,5.081292008981109,5.324790952727199,0.08687291182979298,0.377471923828125,0.7669677734375,1.144439697265625,True,
quick_sort,random,10000,3,7.017389017467697,7.008334156125784,7.023249985650182,0.007954320067460906,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
merge_sort,random,10000,3,9.845013652617732,9.647333063185215,10.16020798124373,0.275893601897193,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
heap_sort,random,10000,3,11.121597063417235,11.011791182681918,11.308707995340228,0.16285561585078723,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
list.sort [C],random,10000,3,0.6145139535268148,0.5870419554412365,0.6516668945550919,0.03338242323532281,0.0,0.38957977294921875,0.38957977294921875,True,scaling study
quick_sort,random,25000,3,19.515194619695347,19.46341712027788,19.561499822884798,0.049269804720280086,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
merge_sort,random,25000,3,26.114805601537228,25.77358391135931,26.37016586959362,0.30741933263739135,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
heap_sort,random,25000,3,31.375972398867212,30.727958073839545,32.439959002658725,0.9287149711264626,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
list.sort [C],random,25000,3,1.782402629032731,1.769582973793149,1.8009580671787262,0.01645519751934166,0.0,0.9750022888183594,0.9750022888183594,True,scaling study
quick_sort,random,50000,3,39.61149991179506,39.535332936793566,39.72683288156986,0.10158020758134077,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
merge_sort,random,50000,3,54.67049963772297,54.476582910865545,54.902165895327926,0.2152881545039598,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
heap_sort,random,50000,3,65.98297234935065,65.69162500090897,66.56199996359646,0.5014559755533534,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
list.sort [C],random,50000,3,3.854277931774656,3.8038338534533978,3.932042047381401,0.06833098547167618,0.0,1.9528160095214844,1.9528160095214844,True,scaling study
quick_sort,random,100000,3,84.6145973385622,82.60087482631207,87.75304211303592,2.7540800756246755,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
merge_sort,random,100000,3,117.5976946639518,115.66379200667143,118.77775005996227,1.6883121629031783,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
heap_sort,random,100000,3,145.41934741040072,143.34150007925928,147.0880419947207,1.906488541468577,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
list.sort [C],random,100000,3,8.347833373894295,8.128124987706542,8.493208093568683,0.1935601690159334,0.0,3.8187828063964844,3.8187828063964844,True,scaling study
quick_sort,random,200000,3,176.01477766099075,173.89949993230402,178.48358303308487,2.312399363152052,0.0,7.655483245849609,7.655483245849609,True,scaling study
merge_sort,random,200000,3,246.2190279426674,243.3174168691039,249.6710829436779,3.212399342352315,0.0,7.655483245849609,7.655483245849609,True,scaling study
heap_sort,random,200000,3,337.400708347559,330.71433403529227,343.975791009143,6.63142892904367,0.0,7.655483245849609,7.655483245849609,True,scaling study
list.sort [C],random,200000,3,18.355278065428138,18.030709121376276,18.545125145465136,0.2824330840085438,0.0,7.655483245849609,7.655483245849609,True,scaling study
