function,dataset,n,iterations,avg_time_ms,min_time_ms,max_time_ms,stdev_time_ms,peak_alloc_mb,input_mb,peak_total_mb,correct,notes
quick_sort (pure Python),baseline,100000,5,347.6033331826329,334.44408304058015,380.42095792479813,18.95831667584547,0.00079345703125,3.4332275390625,3.43402099609375,True,
list.sort [C Timsort],stdlib,100000,5,22.080591740086675,19.30487505160272,25.357999838888645,2.4639538785110005,0.3813018798828125,3.4332275390625,3.8145294189453125,True,
numpy sort [sort only],numpy,100000,5,5.038416758179665,3.2293328549712896,6.257541943341494,1.3611288977080596,0.00251007080078125,0.762939453125,0.7654495239257812,True,
numpy sort [round trip],numpy,100000,5,15.703324787318708,14.785041101276875,17.634249990805984,1.1253214609528315,4.577781677246094,3.4332275390625,8.011009216308594,True,
C quicksort [sort only],ctypes,100000,5,8.207925036549568,7.625125115737319,8.538875030353665,0.39392329301237217,0.00019073486328125,0.762939453125,0.7631301879882812,True,
libc qsort [sort only],ctypes,100000,5,12.139383377507329,11.658791918307543,13.261500047519803,0.648046802001305,0.00019073486328125,0.762939453125,0.7631301879882812,True,
C quicksort [round trip],ctypes,100000,5,57.37477499060333,53.06333280168474,61.14304205402732,2.942055692645302,4.578218460083008,3.4332275390625,8.011445999145508,True,
